No;Dummy_1;Income;Cost;Labour;land_prep;Other_costs;Throughput;Fertilizer_total;Fertilizer_ha;Input;Education;Age;Access_to_credit;Distance_to_capital;Erosion_awareness;Distance_to_market;Association;Number_of_extension_contacts;Number_of_network_members;Land_holding;Farm_size;Machinery;Dummy_2;Soil_quality;Headcount_index;Poverty_gap;Poverty_severity;Eastern;Western;Southern;Central
1;1;7150;5328;160;230;1781.5;0.452890396;3240;1620;2.75;8;33;1;3;1;8;1;6;8;2;2;1;1;1;1;0.543965101;0.29589802;0;1;0;0
2;1;17550;9580.009766;175;250;1475;0.404618591;5400;1350;3.380000114;10;40;1;3;1;4;1;2;3;5;4;0;0;0;0;0;0;0;1;0;0
3;0;29575;28280.01953;160;250;565.2199707;0.044055425;11000;478.2608643;0.99000001;6;61;1;8;0;5;1;1;2;25;23;0;0;0;0;0;0;0;1;0;0
4;0;5395;5200.02002;190;125;1700.01001;0.302882493;3200;1600;2.079999924;2;39;0;8;1;5;0;7;8;2;2;0;0;0;1;0.541201174;0.292898715;0;1;0;0
5;0;7800;7140.02002;150;250;910.0100098;0.221287549;3240;810;1.5;5;36;0;8;1;5;1;8;3;1;4;0;0;0;1;0.431436986;0.18613787;0;1;0;0
6;1;17550;14100.00977;170;250;2535;0.254698396;9660;2415;3.380000114;7;51;1;4;1;8;1;5;2;1;4;1;1;1;1;0.104513302;0.010923031;0;1;0;0
7;1;25350;17330.00977;130;250;1301.25;0.169350386;9660;1207.5;2.440000057;9;54;1;8;0;11;1;5;1;6;8;1;1;0;0;0;0;0;1;0;0
8;1;3120;1530.01001;160;250;540.0100098;1.261423111;400;400;2.400000095;6;38;1;8;1;1;1;7;8;1;1;0;1;0;1;0.80100292;0.641605675;0;1;0;0
9;0;2900;2566.02002;175;333;201.0099945;0.383276433;202;101;1.450000048;7;46;0;4;1;8;0;5;6;1;2;0;0;0;1;0.788611174;0.621907592;0;1;0;0
10;1;10075;4670.009766;160;166.6699982;810;0.63228488;2200;733.333313;2.579999924;8;40;1;3;1;8;0;7;4;3;3;1;1;0;1;0.265606105;0.070546605;0;1;0;0
11;1;4225;1990.02002;190;280;1000.02002;1.319072127;900;900;3.25;7;29;1;8;0;2;1;8;8;0;1;1;1;0;1;0.640699685;0.410496086;0;1;0;0
12;1;6630;2680.02002;140;250;450.0100098;1.046632171;600;300;2.549999952;8;42;1;8;1;0;0;8;4;3;2;1;1;1;1;0.661705017;0.437853515;0;1;0;0
13;1;4750;2370.01001;145;125;415.0100098;0.820669532;500;250;2.380000114;4;59;1;8;1;2;1;7;7;3;2;1;1;0;1;0.697039723;0.485864371;0;1;0;0
14;1;5200;2370.01001;160;125;570.0100098;0.918770432;800;400;2;10;41;1;8;1;11;0;1;5;15;2;1;1;1;0;0;0;0;1;0;0
15;1;2278;790.0200195;150;125;700.039978;2.564390659;300;600;3.400000095;6;33;1;8;0;0;1;6;8;11;0.5;0;0;0;1;0.76753062;0.589103281;0;1;0;0
16;1;4420;1350.01001;165;125;490.0100098;2.522196054;300;300;3.400000095;8;66;1;8;1;2;0;7;7;9.5;1;1;0;1;1;0.677814305;0.459432244;0;1;0;0
17;1;32495;15150;160;140;671;0.206600666;5000;500;2.430000067;10;36;1;3;0;2;1;9;4;14;10;0;1;0;0;0;0;0;1;0;0
18;1;5070;3030.01001;190;250;555.0100098;0.64603579;800;400;1.950000048;5;82;1;8;0;2;1;3;8;2;2;1;1;1;1;0.712559819;0.507741511;0;1;0;0
19;1;26325;13015.01953;130;200;896.8800049;0.24013716;6800;850;2.529999971;6;26;1;8;1;4;0;7;1;14;8;1;1;0;0;0;0;0;1;0;0
20;0;17225;16300.01953;120;150;731.6699829;0.082600407;8080;673.333313;1.100000024;5;36;0;8;1;14;0;5;2;6;12;0;0;0;0;0;0;0;1;0;0
21;0;3900;3310.030029;100;100;990.0200195;0.38292402;1980;990;1.629999995;4;46;0;4;1;18;0;6;6;8;2;0;0;0;1;0.715718508;0.512252986;0;1;0;0
22;0;4288;3100.030029;160;100;975.0200195;0.491604924;1950;975;1.600000024;7;39;0;4;0;18;0;8;11;12;2;0;0;0;1;0.453013211;0.205220968;0;1;0;0
23;1;5720;2060.01001;175;200;365.0100098;1.22693336;400;200;2.200000048;10;54;1;2;1;9;1;9;5;6;2;1;1;0;0;0;0;0;1;0;0
24;1;10660;2735.02002;160;166.6699982;300.0100098;1.227696061;600;200;2.730000019;6;55;1;2;1;1;1;6;6;7;3;1;1;1;1;0.0934579;0.008734379;0;1;0;0
25;1;3185;1165.02002;160;125;550.0200195;2.025699139;400;400;2.450000048;5;48;1;7;1;3;0;7;4;8;1;1;1;1;1;0.729142904;0.531649351;0;1;0;0
26;1;6565;2570.01001;150;125;525.0100098;1.088515282;600;300;2.529999971;8;42;1;7;1;0;1;7;8;3;2;0;1;0;1;0.52145952;0.271920025;0;1;0;0
27;1;6370;2410.01001;120;125;490.0100098;1.13173604;600;300;2.450000048;8;36;1;4;1;1;0;6;12;5;2;1;1;1;1;0.593714416;0.352496803;0;1;0;0
28;1;5590;795;150;25;155;0.42851153;450;30;4.300000191;3;50;1;4;0;8;1;10;6;5;15;1;1;1;1;0.286927193;0.082327217;0;1;0;0
29;1;8308;2150.01001;150;250;405.0100098;1.754175663;500;250;3.099999905;8;44;1;3;1;11;0;7;7;3;2;0;1;0;1;0.394407511;0.15555729;0;1;0;0
30;1;4225;1590.02002;175;250;550.0200195;1.889900684;400;400;3.25;8;55;1;4;1;0;1;9;10;5;1;1;1;0;1;0.568839729;0.323578626;0;1;0;0
31;1;33800;14550;160;200;531;0.224639177;4200;420;2.599999905;7;45;1;8;0;3;1;2;1;18;10;1;1;0;0;0;0;0;1;0;0
32;1;6164;3000.01001;190;250;530.0100098;0.838995576;800;400;2.299999952;5;48;1;8;0;5;0;6;13;2;2;1;1;0;1;0.65053618;0.423197329;0;1;0;0
33;1;33475;14250.00977;155;200;710;0.227263004;6400;640;2.579999924;7;65;1;8;0;12;1;9;1;3;10;1;0;1;0;0;0;0;1;0;0
34;1;4920;2743.01001;120;250;625.0100098;0.698774338;990;495;2.049999952;8;36;1;8;1;13;1;3;5;6;2;0;0;0;1;0.372393906;0.138677225;0;1;0;0
35;1;3640;2135.02002;135;250;1320.02002;0.847757876;1200;1200;2.799999952;8;70;1;7;1;13;0;8;10;6;1;1;1;0;1;0.76783669;0.589573205;0;1;0;0
36;1;13735;5290.009766;150;83.33000183;960;0.774520874;2400;800;3.420000076;6;67;1;7;1;7;1;5;2;4;3;1;1;0;1;0.3628847;0.131685302;0;1;0;0
37;1;3575;1400.01001;165;250;570.0100098;1.78212297;440;440;2.75;9;64;1;7;1;9;0;9;8;4;1;0;1;1;1;0.739408612;0.546725094;0;1;0;0
38;1;2015;792.5100098;160;250;800.0200195;1.930524468;300;600;3.099999905;11;48;1;4;1;13;1;7;7;3;0.5;1;1;0;1;0.885761023;0.784572601;0;1;0;0
39;1;9100;4750;190;93.33000183;880;0.55274874;2200;733.333313;2.329999924;5;41;1;5;1;2;0;8;2;2;3;1;1;0;1;0.419591904;0.176057369;0;1;0;0
40;1;4290;2194.02002;150;125;1504.02002;1.098886967;1360;1360;3.299999952;7;66;1;7;1;6;1;6;9;3;1;1;1;0;1;0.562206507;0.316076159;0;1;0;0
41;0;2100;2020.030029;120;100;1200.030029;0.180675521;1200;1200;1.75;6;67;0;7;1;12;0;3;12;5;1;0;0;0;1;0.846925318;0.717282474;0;1;0;0
42;0;10800;5850.02002;145;100;60;0.17982845;400;40;0.899999976;7;73;1;7;1;12;1;8;6;10.5;10;0;0;0;1;0.081552103;0.006650745;0;1;0;0
43;0;1980;1800.030029;160;100;1200.030029;0.288867384;1200;1200;2.75;7;47;0;8;1;12;0;3;11;5;1;0;0;0;1;0.873713374;0.763375044;0;1;0;0
44;0;10400;7925.02002;175;150;840;0.231166601;4000;800;1.600000024;8;50;0;7;1;12;0;7;6;4.5;5;0;0;0;1;0.241916001;0.058523353;0;1;0;0
45;1;8125;5362.02002;160;150;633.4299927;0.368357986;1967;562;1.789999962;5;49;0;4;1;12;0;5;5;3.5;3.5;0;1;0;1;0.309038013;0.095504493;0;1;0;0
46;0;1080;942.5200195;175;150;980.039978;-0.954971731;440;880;1.799999952;2;77;1;7;1;12;1;4;5;3;0.5;0;0;0;1;0.921275914;0.84874928;0;1;0;0
47;0;2275;1290.02002;160;150;380.019989;1.027100325;280;280;1.75;8;47;0;4;1;12;0;7;13;15;1;0;0;0;1;0.83416909;0.695838094;0;1;0;0
48;0;1920;1460.030029;190;150;600.0300293;0.554762542;600;600;1.600000024;6;52;0;8;1;12;0;5;8;4;1;0;0;0;1;0.860046029;0.739679158;0;1;0;0
49;0;2805;2112.52002;165;150;653.3499756;0.552783728;780;520;1.830000043;8;48;0;8;1;12;0;3;6;5;1.5;0;0;0;1;0.821093976;0.67419529;0;1;0;0
50;1;26650;24350.00977;120;206.25;2302.5;0.122644968;17600;2200;2.559999943;6;57;1;4;1;4;1;8;2;2;8;1;1;1;0;0;0;0;1;0;0
51;1;13000;11700.00977;150;250;2000;0.221687853;7440;1860;2.5;6;34;1;3;1;6;0;12;2;3;4;0;1;0;1;0.052395001;0.002745236;0;1;0;0
52;1;10400;3680.02002;150;125;1225.01001;1.20787251;2200;1100;4;9;40;1;3;0;7;0;1;1;4;2;1;1;0;0;0;0;0;1;0;0
53;0;9100;8560.030273;165;150;1380.01001;0.212907836;5520;1380;1.75;7;64;0;8;0;12;0;8;3;4;4;0;0;0;1;0.226122603;0.051131431;0;1;0;0
54;1;17550;11440;160;250;1955;0.32834354;6960;1740;3.380000114;7;35;1;8;0;5;1;5;5;10;4;1;1;0;0;0;0;0;1;0;0
55;1;21450;13690.00977;190;100;1028.75;0.183607891;6880;860;2.059999943;11;50;1;8;0;9;1;8;1;15;8;1;0;0;0;0;0;0;1;0;0
56;1;13650;12960.00977;130;250;2285;0.206693515;8700;2175;2.630000114;8;35;1;8;0;0;0;5;4;8;4;1;0;0;0;0;0;0;1;0;0
57;1;19500;6590.009766;120;100;778;0.560606122;3480;696;3;6;56;0;8;1;11;1;9;1;2;5;1;1;0;0;0;0;0;1;0;0
58;1;5525;1715.01001;165;250;730.0100098;2.416889906;600;600;4.25;7;65;1;4;1;8;0;4;6;4;1;0;1;0;1;0.295218796;0.087154135;0;1;0;0
59;0;2750;2580.02002;160;300;250.0099945;0.348832577;300;150;1.379999995;5;78;0;7;1;12;0;0;9;10;2;0;0;0;1;0.799545109;0.639272392;0;1;0;0
60;1;18200;8520.019531;175;200;1300.01001;0.482392967;4800;1200;3.5;6;67;1;8;1;9;1;9;3;16;4;1;1;0;0;0;0;0;1;0;0
61;1;10205;8355.009766;160;250;1840;0.309395224;5160;1720;2.619999886;7;43;1;3;1;0;1;7;8;10;3;1;1;0;1;0.132151693;0.01746407;0;1;0;0
62;1;21450;10680.00977;150;200;1835;0.44697994;6960;1740;4.130000114;9;52;1;7;1;1;1;2;1;5.5;4;1;1;0;0;0;0;0;1;0;0
63;0;5070;2870.030029;170;150;770.0200195;0.695111215;1540;770;1.950000048;7;62;1;1;0;3;1;2;9;12;2;0;0;0;1;0.712559819;0.507741511;0;1;0;0
64;0;5896;3990.030029;100;150;660.0100098;0.404841572;1980;660;1.470000029;6;36;0;3;1;3;0;5;8;23;3;0;0;0;1;0.665730298;0.443196833;0;1;0;0
65;0;6120;4007.530029;160;100;425.0100098;0.339555144;1700;425;1.129999995;7;55;1;7;1;3;1;8;7;5;4;0;0;0;1;0.479546189;0.229964554;0;1;0;0
66;0;4875;2780.030029;175;200;600.0200195;0.689737141;1200;600;1.879999995;5;35;0;3;1;3;0;7;9;30;2;0;0;0;1;0.644648075;0.415571153;0;1;0;0
67;0;12350;7612.02002;160;200;737.4000244;0.293288767;3487;697.4000244;1.899999976;5;39;0;4;1;3;0;9;1;4;5;0;0;0;1;0.099775203;0.009955091;0;1;0;0
68;0;3900;2650.02002;175;125;470.0100098;0.55282414;860;430;1.950000048;6;39;0;4;1;3;1;3;8;5;2;0;0;0;1;0.602005899;0.362411112;0;1;0;0
69;0;6600;6540.009766;160;125;2515.01001;0.279815316;4800;2400;3.299999952;6;37;0;7;1;3;0;7;5;4;2;0;0;0;1;0.438726306;0.192480773;0;1;0;0
70;0;3250;2950.02002;190;125;700.0100098;0.360165358;1320;660;1.629999995;0;45;0;3;1;3;0;6;6;9.5;2;0;0;0;1;0.792711377;0.628391325;0;1;0;0
71;0;3500;2789.02002;120;125;654.5100098;0.433931977;1279;639.5;1.75;0;40;1;3;1;3;0;3;6;8;2;0;0;0;1;0.776766121;0.6033656;0;1;0;0
72;0;2010;1605.030029;120;120;400.019989;0.515039146;600;400;1;8;45;0;4;1;3;0;0;3;0;1.5;0;0;0;1;0.871799886;0.760035038;0;1;0;0
73;0;2500;2220.030029;100;200;400.019989;0.371612072;800;400;1.25;0;36;0;3;1;3;1;1;4;0;2;0;0;0;1;0.74487561;0.554839671;0;1;0;0
74;0;1820;1705.02002;125;260;900.0200195;0.240454644;800;800;1.399999976;0;43;0;4;1;3;0;0;6;0;1;0;0;0;1;0.883918405;0.78131175;0;1;0;0
75;0;1750;1480.030029;120;160;790.0300293;0.36483717;790;790;1.75;9;56;1;4;1;3;1;3;3;16;1;0;0;0;1;0.88838309;0.789224505;0;1;0;0
76;0;2000;1115.030029;100;200;400.0299988;1.040303826;400;400;2;7;53;0;3;0;3;0;7;6;25;1;0;0;0;1;0.886611283;0.786079586;0;1;0;0
77;0;4750;4192.529785;160;275;414.2900085;0.264561713;1000.01001;285.7171326;1.360000014;8;46;0;3;0;3;0;6;5;4;3.5;1;0;0;1;0.697039723;0.485864371;0;1;0;0
78;1;9100;4620.009766;175;120;400;0.448051006;1080;270;1.75;9;62;1;7;1;2;1;8;2;12;4;1;0;0;1;0.484081686;0.23433508;0;1;0;0
79;1;18200;4360.009766;160;125;375;1.00085783;1000;250;3.5;11;58;1;7;1;2;1;9;3;23;4;1;1;0;0;0;0;0;1;0;0
80;0;7150;4258.02002;175;80;130;0.312276572;400;80;1.100000024;8;59;0;7;0;3;0;5;7;5;5;0;0;0;1;0.391953498;0.153627545;0;1;0;0
81;0;7800;6824.029785;160;150;880.0100098;0.2357108;3520;880;1.5;6;47;0;8;0;3;0;7;1;30;4;0;0;0;1;0.557784319;0.311123341;0;1;0;0
82;0;7800;6694.02002;190;150;1045.01001;0.242249429;3780;945;1.5;5;38;1;8;0;3;1;4;5;2;4;0;0;0;1;0.204011798;0.041620813;0;1;0;0
83;0;1150;1000.02002;135;150;450.019989;0.44997099;350;350;1.149999976;7;56;0;8;0;3;0;6;4;9.5;1;0;0;0;1;0.916173398;0.839373708;0;1;0;0
84;1;4500;3340;120;90;1040;0.468562871;1720;860;1.879999995;8;35;1;8;1;3;1;3;3;8;2;1;0;0;1;0.791261911;0.626095414;0;1;0;0
85;0;1300;1062.02002;100;150;301.019989;0.497146904;201;201;1;6;62;0;8;0;6;0;7;8;0;1;0;0;0;1;0.905239522;0.819458604;0;1;0;0
86;0;12920;11795.01953;130;150;800;0.1243705;6000;750;1.190000057;9;65;1;7;0;6;1;5;4;10;8;0;0;0;1;0.267509401;0.071561277;0;1;0;0
87;0;5785;5361.02002;160;208.3300018;866.6699829;0.269724786;2330;776.666687;1.480000019;4;55;0;8;0;6;0;4;1;3;3;1;0;0;1;0.631026328;0.398194224;0;1;0;0
88;0;1690;1285.030029;135;200;520.0300293;0.560274839;420.0100098;420.0100098;1.299999952;6;54;0;3;0;6;0;10;7;11;1;0;0;0;1;0.904186606;0.817553401;0;1;0;0
89;0;4900;3760.030029;160;100;1200.02002;0.445472509;2400;1200;1.75;8;53;0;8;0;6;1;4;2;9.5;2;0;0;0;1;0.687472582;0.47261855;0;1;0;0
90;0;3380;2942.530029;175;200;1166.689941;0.401765376;1750;1166.666626;1.730000019;10;36;0;3;0;3;0;0;3;14;1.5;0;0;0;1;0.827535927;0.684815705;0;1;0;0
91;1;4500;2992.52002;160;133.3300018;1306.680054;0.637141943;1860;1240;2.5;11;54;1;3;1;3;1;5;6;14;1.5;1;0;0;1;0.74487561;0.554839671;0;1;0;0
92;1;10150;6645.009766;140;100;1480;0.413844377;4110;1370;2.420000076;6;23;1;3;1;0;1;5;8;3;3;1;0;0;1;0.352621794;0.124342129;0;1;0;0
93;0;4950;4330.029785;120;133.3300018;740.0100098;0.290733933;2220;740;1.649999976;6;45;0;8;0;18;0;7;4;6;3;0;0;0;1;0.639181077;0.408552438;0;1;0;0
94;1;3575;1900.02002;120;200;1793.359985;0.934474349;1245;1660;3.670000076;8;71;1;7;1;5;1;0;7;3;0.75;1;1;0;1;0.695976675;0.484383523;0;1;0;0
95;1;8316;3622.52002;100;200;1700.01001;1.134751558;2370;1580;4.199999809;6;36;1;8;1;16;1;7;3;12;1.5;0;1;1;1;0.614251912;0.377305418;0;1;0;0
96;1;10720;2220.02002;160;200;275.0100098;2.239842415;200.0099945;100.0049973;4;8;63;1;8;1;5;0;6;5;6;2;1;1;0;1;0.602500796;0.363007218;1;0;0;0
97;1;20800;8595.019531;175;50;697.5;0.382440478;3525;587.5;2.670000076;6;42;1;8;1;1;1;8;1;7;6;1;1;0;0;0;0;1;0;0;0
98;0;3770;3630.01001;160;250;2690.01001;0.132228285;2560;2560;2.900000095;5;65;0;4;0;6;0;4;8;10;1;0;0;0;1;0.679393589;0.461575657;0;1;0;0
99;0;4200;3830.030029;175;200;1050.02002;0.343336731;2100;1050;1.75;5;37;0;3;0;6;0;3;2;3.5;2;0;0;0;1;0.571390986;0.32648766;0;1;0;0
100;0;4200;4000.030029;160;200;1170.02002;0.316245109;2340;1170;1.75;1;48;0;3;0;3;0;5;9;1.700000048;2;1;0;0;1;0.693850696;0.481428802;0;1;0;0
101;0;4095;2980.030029;190;150;700.0200195;0.500830531;1400;700;1.580000043;9;36;1;8;0;3;1;3;5;8;2;0;0;0;1;0.477632701;0.228132993;0;1;0;0
102;1;7800;3377.52002;100;250;1506.680054;1.153374791;2160;1440;4;4;78;1;8;1;2;1;6;8;0;1.5;1;1;1;1;0.691896617;0.478720933;0;0;0;1
103;1;11050;4900.009766;145;150;1605.01001;0.910711467;3000;1500;4.25;9;34;1;7;1;4;1;9;7;10;2;1;1;0;1;0.0179203;0.000321137;0;0;0;1
104;1;5980;4800.009766;150;125;1635.01001;0.406248122;3040;1520;2.299999952;12;30;1;3;1;1;0;5;2;17;2;1;1;0;1;0.468521506;0.219512403;0;0;0;1
105;1;10400;4230.009766;135;250;1205.01001;1.013589859;2240;1120;4;9;67;1;8;1;7;0;5;1;3;2;0;1;0;1;0.410379112;0.168411016;0;1;0;0
106;1;6760;3810.01001;160;200;1010.01001;0.681099296;1800;900;2.599999905;0;35;1;7;1;0;1;2;6;2;2;1;1;0;1;0.759679317;0.577112675;0;0;0;1
107;1;5880;3640.02002;180;173.3300018;1533.349976;0.696574926;2220;1480;2.799999952;8;37;1;7;1;5;1;5;1;7;1.5;1;1;0;1;0.666637421;0.444405437;0;1;0;0
